"filename", "language", "JSON", "YAML", "C", "Properties", "Batch", "C++", "Ini", "JSON with Comments", "ARM", "LinkerScript", "comment", "blank", "total"
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_crc.h", "C", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 10, 6, 32
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_dbgmcu.h", "C", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 10, 7, 51
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_dma.h", "C", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 33, 28, 183
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_exti.h", "C", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 19, 15, 94
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_flash.h", "C", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 20, 18, 143
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_gpio.h", "C", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 26, 18, 190
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_i2c.h", "C", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 35, 32, 200
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_iwdg.h", "C", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 13, 9, 49
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_misc.h", "C", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 12, 8, 44
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_opa.h", "C", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 15, 12, 73
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_pwr.h", "C", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 14, 10, 63
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_rcc.h", "C", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 29, 32, 256
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_rtc.h", "C", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 12, 20, 97
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_spi.h", "C", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 50, 41, 219
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_tim.h", "C", 0, 0, 335, 0, 0, 0, 0, 0, 0, 0, 98, 74, 507
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_usart.h", "C", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 45, 32, 186
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_wwdg.h", "C", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 11, 7, 40
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_adc.c", "C", 0, 0, 531, 0, 0, 0, 0, 0, 0, 0, 564, 114, 1209
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_bkp.c", "C", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 121, 20, 243
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_can.c", "C", 0, 0, 712, 0, 0, 0, 0, 0, 0, 0, 368, 149, 1229
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_crc.c", "C", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 58, 10, 98
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_dbgmcu.c", "C", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 54, 11, 99
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_dma.c", "C", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 261, 22, 431
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_exti.c", "C", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 82, 12, 181
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_flash.c", "C", 0, 0, 519, 0, 0, 0, 0, 0, 0, 0, 340, 107, 966
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_gpio.c", "C", 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 247, 69, 672
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_i2c.c", "C", 0, 0, 430, 0, 0, 0, 0, 0, 0, 0, 458, 85, 973
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_iwdg.c", "C", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 75, 10, 121
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_misc.c", "C", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 39, 6, 108
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_opa.c", "C", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 46, 6, 85
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_pwr.c", "C", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 168, 52, 401
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_rcc.c", "C", 0, 0, 435, 0, 0, 0, 0, 0, 0, 0, 493, 91, 1019
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_rtc.c", "C", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 159, 22, 374
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_spi.c", "C", 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 297, 53, 639
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_tim.c", "C", 0, 0, 945, 0, 0, 0, 0, 0, 0, 0, 1238, 169, 2352
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_usart.c", "C", 0, 0, 385, 0, 0, 0, 0, 0, 0, 0, 354, 68, 807
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_wwdg.c", "C", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 81, 14, 140
"c:\RV32\CH32V203\LearnADC\sdk\Startup\startup_ch32v20x_D6.S", "ARM", 0, 0, 0, 0, 0, 0, 0, 0, 240, 0, 14, 12, 266
"c:\RV32\CH32V203\LearnADC\sdk\Startup\startup_ch32v20x_D8.S", "ARM", 0, 0, 0, 0, 0, 0, 0, 0, 256, 0, 14, 10, 280
"c:\RV32\CH32V203\LearnADC\sdk\Startup\startup_ch32v20x_D8W.S", "ARM", 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 14, 12, 286
"c:\RV32\CH32V203\LearnADC\src\MLX90640\I2C_Driver.c", "C", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 22, 31, 181
"c:\RV32\CH32V203\LearnADC\src\MLX90640\I2C_Driver.h", "C", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\RV32\CH32V203\LearnADC\src\MLX90640\ML90640_I2C_Driver.c", "C", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 20, 62
"c:\RV32\CH32V203\LearnADC\src\MLX90640\MLX90640_API.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1192, 264, 1456
"c:\RV32\CH32V203\LearnADC\src\MLX90640\MLX90640_API.h", "C", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 16, 15, 142
"c:\RV32\CH32V203\LearnADC\src\MLX90640\MLX90640_I2C_Driver.h", "C", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 16, 6, 37
"c:\RV32\CH32V203\LearnADC\src\OV7670\SCCB_Driver.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 7, 138
"c:\RV32\CH32V203\LearnADC\src\OV7670\SCCB_Driver.h", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 18, 57
"c:\RV32\CH32V203\LearnADC\src\SDcard\SPI2_Driver.c", "C", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 10, 46
"c:\RV32\CH32V203\LearnADC\src\SDcard\SPI2_Driver.h", "C", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\RV32\CH32V203\LearnADC\src\ST7789\SPI1_Driver.c", "C", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 4, 40, 171
"c:\RV32\CH32V203\LearnADC\src\ST7789\SPI1_Driver.h", "C", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35
"c:\RV32\CH32V203\LearnADC\src\ST7789\font.h", "C", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 7, 106
"c:\RV32\CH32V203\LearnADC\src\ST7789\st7789.c", "C", 0, 0, 418, 0, 0, 0, 0, 0, 0, 0, 7, 105, 530
"c:\RV32\CH32V203\LearnADC\src\ST7789\st7789.h", "C", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 21, 75
"c:\RV32\CH32V203\LearnADC\src\bus\bus.cpp", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 4, 10
"c:\RV32\CH32V203\LearnADC\src\bus\bus.hpp", "C++", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
"c:\RV32\CH32V203\LearnADC\src\bus\printer.cpp", "C++", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 6, 87
"c:\RV32\CH32V203\LearnADC\src\bus\printer.hpp", "C++", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 10, 26, 124
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\RV32\CH32V203\LearnADC\src\bus\uart\uart1.cpp", "C++", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 20, 105
"c:\RV32\CH32V203\LearnADC\src\bus\uart\uart1.hpp", "C++", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\RV32\CH32V203\LearnADC\src\bus\uart\uart2.cpp", "C++", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 20, 105
"c:\RV32\CH32V203\LearnADC\src\bus\uart\uart2.hpp", "C++", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\RV32\CH32V203\LearnADC\src\can_test.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 74, 305
"c:\RV32\CH32V203\LearnADC\src\ch32v20x_conf.h", "C", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 9, 41
"c:\RV32\CH32V203\LearnADC\src\ch32v20x_it.c", "C", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 23, 6, 41
"c:\RV32\CH32V203\LearnADC\src\ch32v20x_it.h", "C", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 6, 18
"c:\RV32\CH32V203\LearnADC\src\clock\clock.c", "C", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 21, 13, 79
"c:\RV32\CH32V203\LearnADC\src\clock\clock.h", "C", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 20, 15, 69
"c:\RV32\CH32V203\LearnADC\src\defines\comm_inc.h", "C", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\RV32\CH32V203\LearnADC\src\defines\math_defs.h", "C", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 23, 89
"c:\RV32\CH32V203\LearnADC\src\defines\sys_defs.h", "C", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 19, 83
"c:\RV32\CH32V203\LearnADC\src\defines\user_defs.h", "C", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 8, 25
"c:\RV32\CH32V203\LearnADC\src\errors\error_macros.cpp", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\RV32\CH32V203\LearnADC\src\errors\error_macros.h", "C", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 7, 38
"c:\RV32\CH32V203\LearnADC\src\main.cpp", "C++", 0, 0, 0, 0, 0, 387, 0, 0, 0, 0, 48, 95, 530
"c:\RV32\CH32V203\LearnADC\src\old.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 34, 181
"c:\RV32\CH32V203\LearnADC\src\ringbuf\ringbuf.cpp", "C++", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 8, 31
"c:\RV32\CH32V203\LearnADC\src\ringbuf\ringbuf.hpp", "C++", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 15, 64
"c:\RV32\CH32V203\LearnADC\src\system_ch32v20x.c", "C", 0, 0, 553, 0, 0, 0, 0, 0, 0, 0, 283, 127, 963
"c:\RV32\CH32V203\LearnADC\src\system_ch32v20x.h", "C", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 9, 31
"c:\RV32\CH32V203\LearnADC\tools\wch-interface.cfg", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\RV32\CH32V203\LearnADC\tools\wch-target.cfg", "Properties", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\RV32\CH32V203\LearnADC\types\basis\Basis.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 838, 137, 975
"c:\RV32\CH32V203\LearnADC\types\basis\Basis.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 63, 301
"c:\RV32\CH32V203\LearnADC\types\color\color_t.hpp", "C++", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 34, 217
"c:\RV32\CH32V203\LearnADC\types\color\color_t.tpp", "C++", 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 47, 308
"c:\RV32\CH32V203\LearnADC\types\complex\complex_t.hpp", "C++", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 20, 122
"c:\RV32\CH32V203\LearnADC\types\complex\complex_t.tpp", "C++", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 11, 72
"c:\RV32\CH32V203\LearnADC\types\iq\iqt.cpp", "C++", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 6, 35
"c:\RV32\CH32V203\LearnADC\types\iq\iqt.hpp", "C++", 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 127, 457
"c:\RV32\CH32V203\LearnADC\types\matrix\matrix.cpp", "C++", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 41, 19, 172
"c:\RV32\CH32V203\LearnADC\types\matrix\matrix.hpp", "C++", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 11, 38
"c:\RV32\CH32V203\LearnADC\types\matrix\matrix.tpp", "C++", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\RV32\CH32V203\LearnADC\types\quat\Quat.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 34, 211
"c:\RV32\CH32V203\LearnADC\types\quat\Quat.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 22, 135
"c:\RV32\CH32V203\LearnADC\types\real.cpp", "C++", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 4, 14, 90
"c:\RV32\CH32V203\LearnADC\types\real.hpp", "C++", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 16, 51
"c:\RV32\CH32V203\LearnADC\types\rect2\rect2.hpp", "C++", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 6, 10
"c:\RV32\CH32V203\LearnADC\types\rgb.h", "C", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 40, 120
"c:\RV32\CH32V203\LearnADC\types\string\String.cpp", "C++", 0, 0, 0, 0, 0, 670, 0, 0, 0, 0, 62, 112, 844
"c:\RV32\CH32V203\LearnADC\types\string\String.hpp", "C++", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 55, 27, 251
"c:\RV32\CH32V203\LearnADC\types\string\pgmspace.h", "C", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 21, 11, 132
"c:\RV32\CH32V203\LearnADC\types\string\string_utils.c", "C", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 16, 146
"c:\RV32\CH32V203\LearnADC\types\string\string_utils.h", "C", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30
"c:\RV32\CH32V203\LearnADC\types\uint24_t.h", "C", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 13, 41
"c:\RV32\CH32V203\LearnADC\types\vector2\Vector2.hpp", "C++", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 23, 119
"c:\RV32\CH32V203\LearnADC\types\vector2\Vector2.tpp", "C++", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 40, 233
"Total", "-", 146, 21, 14046, 10, 3, 3323, 14, 123, 756, 128, 10732, 4415, 33717
